Team;Position;NbMatchGagne;NbMatchNul;NbMatchPerdu;NbButMis;NbButEnc;Forme5;Forme4;Forme3;Forme2;Forme1;Team_away;Position_away;NbMatchGagne_away;NbMatchNul_away;NbMatchPerdu_away;NbButMis_away;NbButEnc_away;Forme5_away;Forme4_away;Forme3_away;Forme2_away;Forme1_away
AJ AUXERRE;19;3;6;14;19;47;1;1;1;3;3;OLYMPIQUE LYONNAIS;9;10;5;8;35;25;1;5;3;5;5
OGC NICE;7;10;7;6;30;21;3;5;5;5;5;STADE DE REIMS;10;7;12;4;30;26;3;3;5;3;5
RC STRASBOURG ALSACE;17;3;9;11;27;41;5;1;1;5;1;ANGERS SCO;20;2;4;17;19;48;1;1;1;3;3
PARIS SAINT-GERMAIN;1;17;3;3;55;20;1;3;5;5;1;LOSC LILLE;5;12;5;6;40;27;5;1;3;5;5
STADE BRESTOIS 29;15;4;8;11;24;38;3;5;3;3;1;AS MONACO;3;14;5;4;51;30;5;3;5;5;5
FC LORIENT;8;10;6;7;35;35;1;5;1;3;1;AC AJACCIO;18;5;3;15;18;42;1;1;5;1;1
STADE RENNAIS FC;6;12;4;7;42;28;5;1;5;1;1;CLERMONT FOOT 63;12;8;6;9;24;31;5;3;3;1;1
ESTAC TROYES;16;4;7;12;33;52;1;3;1;1;1;MONTPELLIER HÉRAULT SC;14;7;2;14;34;45;1;5;1;1;5
RC LENS;4;13;7;3;35;18;5;3;1;3;1;FC NANTES;13;6;10;7;24;26;5;3;1;5;5
TOULOUSE FC;11;9;5;9;39;39;3;5;5;1;5;OLYMPIQUE DE MARSEILLE;2;15;4;4;45;20;5;3;5;1;5
